"","ENSEMBL","annotation","count"
"430","ENSG00000011105","Distal Intergenic",2
"431","ENSG00000011105","Intron",9
"432","ENSG00000011114","Intron",2
"433","ENSG00000011114","Promoter (1-2kb)",1
"434","ENSG00000011132","Promoter (<=1kb)",1
"435","ENSG00000011198","Distal Intergenic",9
"436","ENSG00000011198","Exon",1
"437","ENSG00000011198","Intron",3
"438","ENSG00000011201","Distal Intergenic",1
"439","ENSG00000011243","3' UTR",1
"440","ENSG00000011243","Intron",2
"441","ENSG00000011243","Promoter (<=1kb)",1
"442","ENSG00000011258","Intron",3
"443","ENSG00000011260","3' UTR",1
"444","ENSG00000011260","Distal Intergenic",24
"445","ENSG00000011260","Exon",1
"446","ENSG00000011260","Intron",3
"447","ENSG00000011275","5' UTR",1
"448","ENSG00000011275","Intron",1
"449","ENSG00000011275","Promoter (1-2kb)",2
"450","ENSG00000011295","Intron",4
"451","ENSG00000011304","Distal Intergenic",3
"452","ENSG00000011304","Promoter (<=1kb)",1
"453","ENSG00000011332","5' UTR",1
"454","ENSG00000011332","Distal Intergenic",1
"455","ENSG00000011332","Exon",2
"456","ENSG00000011332","Intron",18
"457","ENSG00000011332","Promoter (1-2kb)",1
"458","ENSG00000011347","Intron",3
"459","ENSG00000011376","Distal Intergenic",1
"460","ENSG00000011405","5' UTR",1
"461","ENSG00000011405","Distal Intergenic",1
"462","ENSG00000011405","Intron",2
"463","ENSG00000011422","Intron",1
"464","ENSG00000011422","Promoter (2-3kb)",1
"465","ENSG00000011451","Intron",1
"466","ENSG00000011454","Exon",1
"467","ENSG00000011454","Intron",3
"468","ENSG00000011465","Distal Intergenic",8
"469","ENSG00000011478","Intron",1
"470","ENSG00000011478","Promoter (<=1kb)",1
"471","ENSG00000011485","3' UTR",3
"472","ENSG00000011485","5' UTR",1
"473","ENSG00000011485","Intron",3
"474","ENSG00000011485","Promoter (<=1kb)",1
"475","ENSG00000011523","3' UTR",1
"476","ENSG00000011523","Distal Intergenic",2
"477","ENSG00000011523","Intron",2
"478","ENSG00000011566","Exon",1
"479","ENSG00000011566","Intron",2
"480","ENSG00000011590","Promoter (1-2kb)",2
"481","ENSG00000011638","Intron",1
"482","ENSG00000011638","Promoter (2-3kb)",1
"483","ENSG00000011677","Distal Intergenic",1
"484","ENSG00000012048","Intron",1
"485","ENSG00000012061","Intron",1
"486","ENSG00000012061","Promoter (<=1kb)",1
"487","ENSG00000012124","Intron",2
"488","ENSG00000012124","Promoter (<=1kb)",2
"489","ENSG00000012171","Exon",1
"490","ENSG00000012174","Distal Intergenic",1
"491","ENSG00000012211","Promoter (<=1kb)",2
"492","ENSG00000012223","Exon",1
"493","ENSG00000012232","Distal Intergenic",2
"494","ENSG00000012232","Downstream (2-3kb)",1
"495","ENSG00000012232","Intron",3
"496","ENSG00000012504","Intron",1
"497","ENSG00000012660","Distal Intergenic",1
"498","ENSG00000012822","Distal Intergenic",10
"499","ENSG00000012963","Exon",1
"500","ENSG00000012983","Intron",6
"501","ENSG00000013016","3' UTR",1
"502","ENSG00000013016","Distal Intergenic",2
"503","ENSG00000013275","Distal Intergenic",3
"504","ENSG00000013275","Exon",1
"505","ENSG00000013288","Promoter (1-2kb)",1
"506","ENSG00000013293","Intron",9
"507","ENSG00000013293","Promoter (2-3kb)",1
"508","ENSG00000013297","3' UTR",1
"509","ENSG00000013297","Distal Intergenic",1
"510","ENSG00000013297","Intron",1
"511","ENSG00000013306","3' UTR",1
"512","ENSG00000013306","Distal Intergenic",3
"513","ENSG00000013364","Intron",2
"514","ENSG00000013364","Promoter (1-2kb)",1
"515","ENSG00000013374","Distal Intergenic",3
"516","ENSG00000013374","Downstream (1-2kb)",1
"517","ENSG00000013374","Exon",4
"518","ENSG00000013374","Intron",2
"519","ENSG00000013374","Promoter (<=1kb)",2
"520","ENSG00000013503","Intron",4
"521","ENSG00000013523","Exon",1
"522","ENSG00000013561","Distal Intergenic",1
"523","ENSG00000013561","Promoter (1-2kb)",1
"524","ENSG00000013563","Intron",3
"525","ENSG00000013563","Promoter (<=1kb)",1
"526","ENSG00000013573","Distal Intergenic",1
"527","ENSG00000013573","Exon",1
"528","ENSG00000013573","Intron",5
"529","ENSG00000013573","Promoter (1-2kb)",1
"530","ENSG00000013573","Promoter (2-3kb)",1
"531","ENSG00000013588","Promoter (<=1kb)",1
"532","ENSG00000013619","5' UTR",1
"533","ENSG00000013619","Distal Intergenic",8
"534","ENSG00000013619","Intron",2
"535","ENSG00000013725","Intron",5
"536","ENSG00000013810","Distal Intergenic",2
"537","ENSG00000013810","Exon",2
"538","ENSG00000013810","Intron",2
"539","ENSG00000014123","Distal Intergenic",3
"540","ENSG00000014138","Intron",1
"541","ENSG00000014138","Promoter (1-2kb)",1
"542","ENSG00000014164","Promoter (<=1kb)",1
"543","ENSG00000014216","Promoter (1-2kb)",1
"544","ENSG00000014257","Distal Intergenic",1
"545","ENSG00000014257","Intron",2
"546","ENSG00000014257","Promoter (<=1kb)",1
