"","ENSEMBL","annotation","count"
"342","ENSG00000006831","Promoter (1-2kb)",1
"343","ENSG00000006837","Promoter (<=1kb)",2
"344","ENSG00000007001","Distal Intergenic",1
"345","ENSG00000007001","Intron",4
"346","ENSG00000007001","Promoter (<=1kb)",1
"347","ENSG00000007047","Promoter (<=1kb)",1
"348","ENSG00000007047","Promoter (2-3kb)",2
"349","ENSG00000007062","Distal Intergenic",1
"350","ENSG00000007062","Intron",1
"351","ENSG00000007062","Promoter (1-2kb)",1
"352","ENSG00000007062","Promoter (2-3kb)",1
"353","ENSG00000007080","Distal Intergenic",1
"354","ENSG00000007080","Intron",1
"355","ENSG00000007080","Promoter (<=1kb)",1
"356","ENSG00000007129","Distal Intergenic",5
"357","ENSG00000007129","Intron",2
"358","ENSG00000007129","Promoter (<=1kb)",2
"359","ENSG00000007129","Promoter (2-3kb)",1
"360","ENSG00000007168","Distal Intergenic",1
"361","ENSG00000007168","Intron",1
"362","ENSG00000007168","Promoter (<=1kb)",1
"363","ENSG00000007171","Distal Intergenic",2
"364","ENSG00000007171","Exon",1
"365","ENSG00000007171","Intron",3
"366","ENSG00000007202","Promoter (<=1kb)",1
"367","ENSG00000007216","Distal Intergenic",1
"368","ENSG00000007216","Intron",1
"369","ENSG00000007237","Distal Intergenic",2
"370","ENSG00000007237","Intron",17
"371","ENSG00000007237","Promoter (<=1kb)",2
"372","ENSG00000007237","Promoter (1-2kb)",1
"373","ENSG00000007237","Promoter (2-3kb)",1
"374","ENSG00000007264","Exon",1
"375","ENSG00000007264","Intron",1
"376","ENSG00000007312","Exon",1
"377","ENSG00000007312","Intron",1
"378","ENSG00000007312","Promoter (<=1kb)",1
"379","ENSG00000007312","Promoter (1-2kb)",1
"380","ENSG00000007314","Intron",3
"381","ENSG00000007341","Intron",1
"382","ENSG00000007341","Promoter (<=1kb)",1
"383","ENSG00000007341","Promoter (2-3kb)",1
"384","ENSG00000007350","Intron",2
"385","ENSG00000007372","Intron",8
"386","ENSG00000007372","Promoter (<=1kb)",2
"387","ENSG00000007372","Promoter (2-3kb)",1
"388","ENSG00000007376","Promoter (<=1kb)",2
"389","ENSG00000007376","Promoter (1-2kb)",1
"390","ENSG00000007384","Intron",1
"391","ENSG00000007392","Intron",1
"392","ENSG00000007392","Promoter (<=1kb)",1
"393","ENSG00000007402","Distal Intergenic",2
"394","ENSG00000007402","Intron",1
"395","ENSG00000007516","3' UTR",1
"396","ENSG00000007516","Promoter (1-2kb)",1
"397","ENSG00000007520","Promoter (<=1kb)",1
"398","ENSG00000007541","Promoter (<=1kb)",1
"399","ENSG00000007541","Promoter (2-3kb)",1
"400","ENSG00000007866","Promoter (<=1kb)",1
"401","ENSG00000007923","Distal Intergenic",2
"402","ENSG00000007923","Promoter (<=1kb)",1
"403","ENSG00000007944","Distal Intergenic",9
"404","ENSG00000007944","Promoter (<=1kb)",1
"405","ENSG00000007952","Distal Intergenic",1
"406","ENSG00000007968","Distal Intergenic",1
"407","ENSG00000007968","Intron",2
"408","ENSG00000007968","Promoter (<=1kb)",1
"409","ENSG00000007968","Promoter (1-2kb)",2
"410","ENSG00000007968","Promoter (2-3kb)",1
"411","ENSG00000008018","Distal Intergenic",2
"412","ENSG00000008018","Intron",4
"413","ENSG00000008018","Promoter (<=1kb)",1
"414","ENSG00000008056","Downstream (<1kb)",1
"415","ENSG00000008056","Promoter (<=1kb)",2
"416","ENSG00000008083","Distal Intergenic",14
"417","ENSG00000008083","Intron",23
"418","ENSG00000008083","Promoter (<=1kb)",2
"419","ENSG00000008083","Promoter (1-2kb)",1
"420","ENSG00000008086","Intron",3
"421","ENSG00000008086","Promoter (<=1kb)",1
"422","ENSG00000008118","Distal Intergenic",4
"423","ENSG00000008118","Intron",1
"424","ENSG00000008130","Intron",3
